learning_rate,optimizer,loss_function,hidden_size,num_hidden_layers,accuracy
0.001,adam,mean_squared_error,128,1,0.983
0.001,adam,mean_squared_error,128,2,0.9886666666666667
0.001,adam,mean_squared_error,128,3,0.993
0.001,adam,mean_squared_error,64,1,0.9763333333333334
0.001,adam,mean_squared_error,64,2,0.991
0.001,adam,mean_squared_error,64,3,0.9923333333333333
0.001,adam,mean_squared_error,32,1,0.976
0.001,adam,mean_squared_error,32,2,0.9913333333333333
0.001,adam,mean_squared_error,32,3,0.9893333333333333
0.001,adam,binary_crossentropy,128,1,0.9826666666666667
0.001,adam,binary_crossentropy,128,2,0.9893333333333333
0.001,adam,binary_crossentropy,128,3,0.991
0.001,adam,binary_crossentropy,64,1,0.979
0.001,adam,binary_crossentropy,64,2,0.994
0.001,adam,binary_crossentropy,64,3,0.9936666666666667
0.001,adam,binary_crossentropy,32,1,0.9753333333333334
0.001,adam,binary_crossentropy,32,2,0.9893333333333333
0.001,adam,binary_crossentropy,32,3,0.9896666666666667
0.001,sgd,mean_squared_error,128,1,0.9326666666666666
0.001,sgd,mean_squared_error,128,2,0.9376666666666666
0.001,sgd,mean_squared_error,128,3,0.9416666666666667
0.001,sgd,mean_squared_error,64,1,0.9296666666666666
0.001,sgd,mean_squared_error,64,2,0.9173333333333333
0.001,sgd,mean_squared_error,64,3,0.9193333333333333
0.001,sgd,mean_squared_error,32,1,0.849
0.001,sgd,mean_squared_error,32,2,0.9056666666666666
0.001,sgd,mean_squared_error,32,3,0.886
0.001,sgd,binary_crossentropy,128,1,0.94
0.001,sgd,binary_crossentropy,128,2,0.9496666666666667
0.001,sgd,binary_crossentropy,128,3,0.9263333333333333
0.001,sgd,binary_crossentropy,64,1,0.9283333333333333
0.001,sgd,binary_crossentropy,64,2,0.92
0.001,sgd,binary_crossentropy,64,3,0.7623333333333333
0.001,sgd,binary_crossentropy,32,1,0.872
0.001,sgd,binary_crossentropy,32,2,0.9316666666666666
0.001,sgd,binary_crossentropy,32,3,0.7796666666666666
0.01,adam,mean_squared_error,128,1,0.9883333333333333
0.01,adam,mean_squared_error,128,2,0.9883333333333333
0.01,adam,mean_squared_error,128,3,0.9816666666666667
0.01,adam,mean_squared_error,64,1,0.9816666666666667
0.01,adam,mean_squared_error,64,2,0.99
0.01,adam,mean_squared_error,64,3,0.991
0.01,adam,mean_squared_error,32,1,0.9853333333333333
0.01,adam,mean_squared_error,32,2,0.9923333333333333
0.01,adam,mean_squared_error,32,3,0.9856666666666667
0.01,adam,binary_crossentropy,128,1,0.981
0.01,adam,binary_crossentropy,128,2,0.9906666666666667
0.01,adam,binary_crossentropy,128,3,0.9936666666666667
0.01,adam,binary_crossentropy,64,1,0.9873333333333333
0.01,adam,binary_crossentropy,64,2,0.9873333333333333
0.01,adam,binary_crossentropy,64,3,0.961
0.01,adam,binary_crossentropy,32,1,0.9863333333333333
0.01,adam,binary_crossentropy,32,2,0.9843333333333333
0.01,adam,binary_crossentropy,32,3,0.9926666666666667
0.01,sgd,mean_squared_error,128,1,0.9463333333333334
0.01,sgd,mean_squared_error,128,2,0.9546666666666667
0.01,sgd,mean_squared_error,128,3,0.963
0.01,sgd,mean_squared_error,64,1,0.946
0.01,sgd,mean_squared_error,64,2,0.949
